File,Solver,Equations,Specified Time Steps,Steps Completed,Equil Iter,RH Eval,Stiff Reform,Plt Size,Termination
mi14.feb,superlu,636,10,10,43,53,10,88188,Normal
mi15.feb,superlu,80,400,400,736,1136,400,820788,Normal
mi16.feb,superlu,3660,50,16,105,134,18,783012,Normal
mi17.feb,superlu,4,10,10,10,20,10,1796,Normal
mi19.feb,superlu,13399,10,4,10,17,4,955644,Normal
mi20.feb,superlu,3,1,1,12,17,2,500,Normal
mi22.feb,superlu,12,5000,25,30,55,25,3716,Normal
mi23.feb,superlu,1008,50,14,19,33,14,190348,Normal
mi24.feb,superlu,1220,10,10,37,47,37,198828,Normal
mi25.feb,superlu,54,10,10,33,43,10,6940,Normal
ms01.feb,superlu,270,10,10 50,50 193,60 243,10 50,143916,Normal
ms02.feb,superlu,270,10,10 50,40 204,50 254,10 50,143916,Normal
ms03.feb,superlu,12,10,10 50,30 100,40 150,10 50,8196,Normal
mu02.feb,superlu,20,100,100,200,300,100,21076,Normal
mu03.feb,superlu,12,10,10,30,40,10,1796,Normal
ri01.feb,superlu,190,10,10,30,40,10,24468,Normal
ri03.feb,superlu,4055,10,10,41,51,10,925212,Normal
ri04.feb,superlu,5216,62,62,498,790,187,6748204,Normal
ri05.feb,superlu,108,10,10,53,77,10,13644,Normal
ri06.feb,superlu,136,10,13,137,240,26,165064,Normal
ri07.feb,superlu,662,10,8,81,90,12,287284,Normal
sh01.feb,superlu,5074,10,10,20,30,10,1159676,Normal
sh02.feb,superlu,180,10,30,725,1226,91,92812,Normal
sh03.feb,superlu,522,10,10,50,62,10,160524,Normal
sh04.feb,superlu,600,100,20,162,205,25,303084,Normal
sh05.feb,superlu,1014,100,18,150,176,19,488012,Normal
sh07.feb,superlu,301,10,14,152,237,22,98752,Normal
sh10.feb,superlu,1087,10,11,77,94,12,350704,Normal
sh12.feb,superlu,330,10,10,57,74,10,81204,Normal
sh13.feb,superlu,602,10,38,497,637,76,456740,Normal
sh14.feb,superlu,3802,10,10,64,77,10,2774028,Normal
sh15.feb,superlu,606,10,11,55,70,12,174780,Normal
tu01.feb,superlu,2088,10,10,29,39,10,281164,Normal
tu02.feb,superlu,2053,10,10,80,90,10,282660,Normal
tu03.feb,superlu,2020,10,11,88,103,13,562840,Normal
co01.feb,psldlt,12,10,10,20,30,10,6108,Normal
co02.feb,psldlt,368,10,6,30,36,6,62820,Normal
co04.feb,psldlt,2149,40,40,339,433,46,1833140,Normal
co07.feb,psldlt,4191,40,40,201,335,201,4763220,Normal
co08.feb,psldlt,212,10,12,105,190,18,61924,Normal
co09.feb,psldlt,1924,10,11,71,118,13,442108,Normal
co11.feb,psldlt,751,50,26,311,470,59,2744716,Normal
co12.feb,psldlt,751,50,26,311,470,59,2744716,Normal
co13.feb,psldlt,5473,50,51,217,324,53,4869712,Normal
co15.feb,psldlt,5568,50,51,389,554,56,4869712,Normal
co16.feb,psldlt,32,50,50,451,734,62,26428,Normal
co17.feb,psldlt,612,50,50,73,123,50,507484,Normal
co18.feb,psldlt,20,100,100,934,1544,106,51828,Normal
co19.feb,psldlt,1006,75,75,469,780,75,1408284,Normal
co20.feb,psldlt,5568,50,54,782,1337,98,5146588,Normal
co21.feb,psldlt,4191,40,56,554,765,64,5240644,Normal
co22.feb,psldlt,4882,10,10,125,165,14,1213148,Normal
co24.feb,psldlt,2781,62,62,420,653,73,3530428,Normal
co25.feb,psldlt,566,10,10,48,65,10,112140,Normal
co26.feb,psldlt,246,10,10,30,40,10,41460,Normal
co27.feb,psldlt,2274,60,24,134,160,24,2351348,Normal
co29.feb,psldlt,1221,100,101,417,546,418,2792716,Normal
co30.feb,psldlt,3457,50,50,405,455,66,7884976,Normal
co31.feb,psldlt,462,24,24,185,257,185,259860,Normal
co32.feb,psldlt,,20,,,,,24996,Error
co33.feb,psldlt,50332,50,50,217,337,52,47708428,Normal
co34.feb,psldlt,,20,,,,,124900,Error
co35.feb,psldlt,468,10,10,30,40,30,103820,Normal
di01.feb,psldlt,16,10,10,30,40,10,1940,Normal
di02.feb,psldlt,117,10,10,51,61,10,13580,Normal
di03.feb,psldlt,540,50,50,287,346,54,241132,Normal
dy01.feb,psldlt,24,10,10,10,20,10,3908,Normal
dy02.feb,psldlt,540,84,167,489,656,167,1525468,Normal
dy03.feb,psldlt,4953,30,41,189,301,66,4641208,Normal
dy04.feb,psldlt,3102,40,50,280,431,77,3451852,Normal
dy05.feb,psldlt,6,10,10,10,20,10,3908,Normal
dy07.feb,psldlt,279,100,100,200,300,100,476372,Normal
dy09.feb,psldlt,11904,100,100,343,492,101,24327316,Normal
fi01.feb,psldlt,84,10,10,39,49,10,10076,Normal
fi02.feb,psldlt,12,10,10,55,65,10,1796,Normal
fi03.feb,psldlt,12,50,50,1037,1860,56,6916,Normal
fi04.feb,psldlt,3630,10,10,30,40,10,535964,Normal
fi05.feb,psldlt,3630,10,10,30,40,10,535964,Normal
fi06.feb,psldlt,3630,10,10,30,40,10,535964,Normal
fi07.feb,psldlt,3630,10,10,32,42,10,535964,Normal
fi08.feb,psldlt,3630,10,10,30,40,10,535964,Normal
fi09.feb,psldlt,3630,10,10,30,40,10,535964,Normal
fi10.feb,psldlt,3630,10,10,30,40,10,535964,Normal
fi11.feb,psldlt,3630,10,10,41,51,10,535964,Normal
fi12.feb,psldlt,3630,10,10,30,40,10,535964,Normal
fi13.feb,psldlt,3630,10,10,35,45,10,535964,Normal
mi01.feb,psldlt,12,10,10,52,70,10,1796,Normal
mi02.feb,psldlt,2157,10,10,58,68,10,281164,Normal
mi03.feb,psldlt,12,50,50,125,179,125,6916,Normal
mi04.feb,psldlt,9,10,10,31,41,10,1796,Normal
